gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
SAA2,background,0.28384438339991064,2.149450686652767e-194,0.28339783040895733,3.990944897930126e-192,0.19837887003957203,1.3306145108095211e-89,False
SDR42E1P4,background,-0.004819784640774134,0.6131891988111171,-0.005480648024823259,0.5670167517921608,-0.0050446831140047365,0.6039994561667532,False
RN7SL787P,background,-0.008582596556288413,0.3784321113848095,-0.008888312520287264,0.3637418065779576,-0.016484616336873207,0.10049435696394689,False
ZNF614,background,0.06611004001236236,1.1070647295393878e-11,0.06584385730611461,1.6339436599712852e-11,0.0017399470505868944,0.8609332271815638,False
KRT18P68,background,-0.031756678419429675,0.0010166373272478104,-0.032177141201698754,0.0009154529582246825,-0.013163442103060172,0.18990661307467419,False
TTLL4,background,0.11318075647001719,2.230416834113323e-31,0.11272800726700213,6.89945631200345e-31,0.08293354528562451,6.072087308745502e-17,False
OR7E102P,background,0.02353040096281766,0.015731020990126493,0.023975906458148018,0.014273801632168742,-0.016801251924829078,0.09382341970023432,False
GIMD1,background,0.014360709628489763,0.061551671457873956,0.01473600970189848,0.05570379350850751,0.0250769620337276,0.002126303668990084,False
COX10-DT,background,0.06588273521778158,1.3017442368310797e-11,0.06754397175117391,4.854002909232451e-12,0.027821355927806785,0.005287979994094944,False
LSM1P1,background,-0.013002674704395574,0.17453324568124548,-0.0125818066341625,0.1907617717125106,-0.01670700696420358,0.09318010002143226,False
CRYM,background,0.022543157159514972,0.020681845433217782,0.02194209946758383,0.024935923390322745,-0.013159394590734688,0.1900090727581214,False
TOM1,background,0.10683184250290555,4.044011782149062e-28,0.10745925424940693,3.3271935115219087e-28,0.05548844067270421,2.1242411967087292e-08,False
ZC3H4,background,0.10545377015562557,1.9455050987874034e-27,0.10570421015679939,2.4385996971999582e-27,0.042911179676831654,1.6473485444220893e-05,False
H3C12,background,0.02473506636651735,0.011124054299777,0.024201439003936537,0.013385155707302991,0.011015484920055803,0.2733183264940835,False
TSC22D2,background,0.08208674338845265,3.2215526127559556e-17,0.08181887717115595,5.541394732758329e-17,0.013053344972496016,0.18986611990526292,False
GRK6P1,background,0.1711010810623581,5.0508531795735906e-70,0.17139416423659615,1.1237712788513467e-69,0.12736226911667786,7.538649118910441e-37,False
