gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
TFAP2C,-0.2702439802717168,-0.35696395551061405,0.08671997523889724,1.4964926149374929,0.1345253309646875,-0.3542782904292739,-0.1860631404236251,-0.4296228172651493,-0.28127190207551495,1.0,1.0,1797.0,2067.0,1.0,1.0,0.4580828041431775
CDH11,-0.33496514116567644,-0.24699106204069274,-0.0879740791249837,-1.4953968811302754,0.13481089403774185,-0.41490804230360606,-0.2543441043729546,-0.32855935520223967,-0.16115873547383947,1.0,1.0,2398.0,2544.0,1.0,1.0,0.4580828041431775
HMGA2,-0.19831595536914678,-0.2885130183253615,0.09019706295621474,1.4916646680708279,0.13578707592064757,-0.2936381884730348,-0.1152841695038258,-0.36490686785549586,-0.21000006710771663,1.0,1.0,1985.0,2058.0,1.0,1.0,0.4580828041431775
NEDD9,-0.3760785226445317,-0.4552113023326533,0.0791327796881216,1.4886392077778225,0.1365824012384061,-0.45062756963603445,-0.297416034663323,-0.531783010355318,-0.3917170846560458,1.0,1.0,2525.0,2146.0,1.0,1.0,0.4580828041431775
XRCC5,-0.09956737695548906,-0.19310911835881897,0.09354174140332991,1.4870293719609695,0.13700705358111953,-0.18825339776670308,-0.00950638635459905,-0.27741883417555635,-0.11031964303522063,0.985,1.0,2302.0,2410.0,1.0,1.0,0.4580828041431775
RASGRP3,-0.19946567814022634,-0.2893022734824574,0.08983659534223107,1.4864427760979038,0.13716204235565155,-0.2911223581005427,-0.11496325681949754,-0.3728806112250804,-0.21264178667360079,1.0,1.0,2017.0,2146.0,1.0,1.0,0.4580828041431775
EZH2,-0.05970107181911288,-0.1536543225040317,0.0939532506849188,1.478363476404332,0.1393105158496443,-0.14424847656239498,0.03564001856782095,-0.24460852443523406,-0.0724504456666884,0.9035,0.9995,2276.0,2722.0,1.0,1.0,0.4580828041431775
SETMAR,-0.1250543005109691,-0.21720531267069657,0.09215101215972746,1.4768083830332943,0.1397270088040316,-0.21157825742764036,-0.03581165076631526,-0.3011235801909766,-0.1304893773997327,0.9975,1.0,2386.0,2527.0,1.0,1.0,0.4580828041431775
SCD,-0.22010428789951617,-0.12824139209965232,-0.09186289579986384,-1.473784922003619,0.14053950926332734,-0.30012277770698587,-0.13376625655432767,-0.2138816147071721,-0.04415570649947731,1.0,0.997,2297.0,2484.0,1.0,1.0,0.4580828041431775
PPCDC,-0.14611522102223698,-0.052366840037345236,-0.09374838098489174,-1.4728447951664905,0.1407928904834325,-0.2370089817256003,-0.06229665149936686,-0.13231093556199663,0.04089166604591399,0.9995,0.879,2482.0,2513.0,1.0,1.0,0.4580828041431775
ATIC,-0.2233302243135973,-0.13213927259081648,-0.09119095172278083,-1.4648880355032314,0.14295146761091881,-0.3076705460667473,-0.13754123886662395,-0.21428552521796873,-0.043472938328930455,1.0,0.998,1889.0,2180.0,1.0,1.0,0.4580828041431775
UPK1A,-0.04270927818780504,-0.13596448099605052,0.09325520280824548,1.4623162019593812,0.1436545807003992,-0.135362863356147,0.04299953085874053,-0.22829526781675225,-0.05196755529136393,0.822,0.997,2966.0,2196.0,1.0,1.0,0.4580828041431775
PREX1,-0.19996504825633482,-0.2882920849310846,0.08832703667474978,1.4612270620391006,0.14395313868023246,-0.28408343971600813,-0.10940174594490415,-0.36529158640786236,-0.2070531364181336,1.0,1.0,2502.0,1707.0,1.0,1.0,0.4580828041431775
SOCS3,-0.22662130355889598,-0.31359751260481056,0.08697620904591458,1.459656961357537,0.14438437590907408,-0.3120021474473982,-0.14336733216423042,-0.3886552704702222,-0.22652902333646857,1.0,1.0,2552.0,2344.0,1.0,1.0,0.4580828041431775
HNF1B,-0.7809494221673926,-0.7421120079272874,-0.03883741424010523,-1.4399191774837734,0.149890266699991,-0.8139271660608562,-0.7444687897670628,-0.7764415463733103,-0.6992643323512666,1.0,1.0,1215.0,1358.0,1.0,1.0,0.4721543401049717
NFIL3,-0.10489936494295216,-0.19453642847148991,0.08963706352853776,1.4263258113419937,0.15377431741962783,-0.19811811673159707,-0.017922958680217427,-0.2833436906933074,-0.1204140189237819,0.991,1.0,2755.0,2148.0,1.0,1.0,0.4800280371060481
ZBTB7B,-0.22128503957291867,-0.3063996255047259,0.08511458593180721,1.4232043396286251,0.15467692797156565,-0.3109273469537652,-0.13811615677518851,-0.3855191744829169,-0.2243195394357611,1.0,1.0,2347.0,2176.0,1.0,1.0,0.4800280371060481
DNAJC15,-0.17748592952017903,-0.26430322508196447,0.08681729556178544,1.4198362807277318,0.15565534990060062,-0.26009274276995115,-0.08950631093577588,-0.3477402414704324,-0.18345253759780628,1.0,1.0,2513.0,2228.0,1.0,1.0,0.4800280371060481
ACTR3B,-0.22189633991558175,-0.13388133341407912,-0.08801500650150262,-1.4138715945852995,0.1573996075304981,-0.30174816896207046,-0.13348350734148307,-0.2212136597357644,-0.04354221091847221,1.0,0.998,2459.0,2599.0,1.0,1.0,0.4820362980621504
ZFX,-0.19348502505897505,-0.10514585816711827,-0.08833916689185678,-1.4054694750860237,0.15988172009491586,-0.2761824247124638,-0.10190869269671254,-0.18831133488887092,-0.019244342833003858,1.0,0.9955,2373.0,2532.0,1.0,1.0,0.48458432871076823
DUSP10,-0.3698014521327603,-0.28951888213346844,-0.08028256999929184,-1.4013153341816404,0.16111979771321627,-0.4401109630654205,-0.2827368571534836,-0.36779475761074204,-0.21087899684021844,1.0,1.0,2006.0,2344.0,1.0,1.0,0.48458432871076823
PSIP1,-0.25259659951112745,-0.16666754630842662,-0.08592905320270083,-1.3981349053143044,0.1620725597532684,-0.3382770808200841,-0.1726621303129386,-0.2474121696187654,-0.08021860001360276,1.0,1.0,2418.0,2619.0,1.0,1.0,0.48458432871076823
ITGB5,-0.2914815228498002,-0.3712546110162441,0.07977308816644385,1.3941787962241794,0.16326361929198507,-0.3647244935868377,-0.19849430633416265,-0.44553652451309317,-0.29692310308177006,1.0,1.0,2341.0,2104.0,1.0,1.0,0.48458432871076823
RNF139,-0.26213311200204437,-0.34344416918356274,0.08131105718151838,1.3926496178127201,0.16372577092495344,-0.3457035176630918,-0.17722736362438368,-0.41560163855320087,-0.2642225194421992,1.0,1.0,1908.0,2349.0,1.0,1.0,0.48458432871076823
