gene,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr,composite_score
NEDD9,-0.6173126674270578,0.0879292369392936,0.0817384944498691,-0.1792580918554744,1.6733112292076843e-06,0.9573184941490428,0.3891566265060241
NFIB,-0.6396203296922978,0.1020971644881303,0.0334279375796188,-0.193548947558025,1.265873111804891e-06,0.9916517200460317,0.3858433734939759
PAX8,-0.7191764860635284,0.1290938073849583,0.036721037415157,-0.2167689707220002,0.0236222732939948,1.0119624595523424,0.37921686746987954
CCNE2,-0.6557734035693535,0.1453974406517708,0.1049679596666809,0.1507218147728975,0.0267177286345883,1.0553204169595947,0.3765060240963855
IRS2,-0.7496581453245196,0.0587942574498285,0.124773461673038,-0.1551946621726098,0.0093508441429409,1.0493794221199064,0.3753012048192771
FADD,-0.5185150256480872,0.0510886227875137,0.1053560428117286,-0.3383102895917239,0.0001205818818096,1.0625830144540638,0.3740963855421687
PTP4A1,-0.4617918689143792,0.1952008448077338,0.227100277579872,0.1524306123286713,0.001538259355596,1.024577392756686,0.37319277108433735
ARL4C,-0.703177996573886,0.0160218520352427,0.1204403047319209,-0.2488372057457468,0.0001553912422544,1.1213449445909827,0.3728915662650602
TCF7L2,-0.5800923393691025,0.0071647143217346,0.1309716765656872,-0.2810734391439689,9.674914831460944e-09,0.9834709174609981,0.3701807228915663
SNAI2,-0.6360886578807234,0.0348595117978604,0.1143084068263144,-0.2540745955479558,0.0004068109698975,1.0971434195839938,0.3686746987951807
EZR,-0.560899451979259,0.0323672803152557,0.1286616169655307,-0.2324768770794368,1.3224402627141756e-07,1.068793203594557,0.3629518072289157
SMARCA4,-0.4603144153172995,0.049729022798445,0.1749863663864017,-0.297835843907586,0.0001290823577623,1.024428989618364,0.361144578313253
ASCL5,-0.7278322908914009,0.2071310072883716,0.1001225183085319,,,,0.3593373493975904
AP1M1,-0.604009337453364,0.0134726849898785,0.1813951126741348,-0.2972405143773821,0.017159571128779,1.0741274882760645,0.35813253012048196
CDK6,-0.6020057348286004,0.0465123323377323,0.1388013286862319,-0.1659791976808038,0.0003888196569985,1.025690141669575,0.35753012048192767
HNF1B,-0.95839153304754,0.0019481215027112,0.0742513996139307,-0.2385835658038303,8.32354309315427e-06,0.9947928057693215,0.3557228915662651
LIN28B,-0.6941506676609638,0.2110696720330418,0.1026364024887399,,,,0.35451807228915666
FDFT1,-0.4755771310361053,0.0448302602607487,0.3015949825583462,-0.1983049729152053,7.368145233771828e-05,0.9440889178810286,0.35210843373493983
CRK,-0.2886437859354773,0.2327005704215046,0.2466620360431036,,5.7989378378316445e-06,1.010656503961406,0.34789156626506024
MTAP,-0.6593188532891818,0.0500891840227367,0.0628742358076103,0.1540096528034757,1.3867042369401865e-07,0.9559124981515115,0.3454819277108433
PKN2,-0.4094762843586463,0.2784068076634376,0.339783006096799,,0.0058787708869969,0.963565796476923,0.3445783132530121
TEAD3,-0.561652142851565,0.119216713839152,0.1597921931814548,,0.0048468653348551,1.0576544440934788,0.34427710843373494
RAPGEF2,-0.5479318053562897,0.0101300534282725,0.3098795445289237,-0.1500362516037287,3.6986541462388804e-09,0.9756953091284487,0.34367469879518076
CCND2,-0.7323029571686276,0.0202261773091713,0.0865562947876636,-0.161605683586014,9.91150116653778e-05,0.943266615923115,0.3433734939759036
JUNB,-0.4676506691233673,0.0591248265337857,0.1839237607898346,-0.2698920246456783,0.0077432639650703,1.0207348225702713,0.3424698795180723
ELMO2,-0.6521017407304487,0.0694964014318214,0.4108809954186909,,,,0.3424698795180723
IRF2BP2,-0.5468347521222163,0.2427511760151416,0.1793120206371024,,,,0.34126506024096387
HIC2,-0.7214238009521898,0.1659172490935062,0.0827663183248286,,,,0.33795180722891566
TIPARP,-0.5899055756030344,0.0162497773585892,0.2446899015539708,-0.1809780002646339,0.002859248690767,1.0028518391729917,0.33674698795180724
DOCK5,-0.4787437535179004,0.0434683549066859,0.1351714662542756,-0.3253108240931531,0.0234008090095849,1.0197299778284843,0.32680722891566266
ZNFX1,-0.4373900925023171,0.0559783769186142,0.1703323464717038,-0.2742614074152193,0.0051857650509624,1.0240522841524284,0.3262048192771085
TFAP2A,-0.5559135294162793,0.0402897724497345,0.0638401244813485,-0.2802898461384442,0.0006067197093131,1.1177864137009204,0.3256024096385542
SMAD7,-0.5447003263959482,0.0693568262470834,0.0371688469836752,-0.2401513310312381,0.0003422152205236,0.9964862270487375,0.3243975903614458
SOX9,-0.5328524391966454,0.0595699623231373,0.1308048557197757,-0.2277067558000589,0.065524205505098,1.0427848107395306,0.3177710843373494
GPX8,-0.5536005025755486,0.0997808753725414,0.2866562048698416,,,,0.31234939759036146
NAV2,-0.413266449205504,0.1402656022992543,0.0470284284540938,-0.3055690671529157,0.0191214794253037,1.0553878305094777,0.31114457831325304
BTBD3,-0.5515696074291804,0.1098922141211962,0.1910298548773998,,,,0.3093373493975904
ACSL4,-0.5295370898898738,0.2103739454790593,0.1339914066204956,,,,0.3057228915662651
RELA,-0.4864704342749151,0.137974042308461,0.3049887919284142,,,,0.3048192771084337
BCAR3,-0.3134449462804609,0.0023666736993044,0.1864571394457373,-0.3188435549085076,5.5373327948243965e-06,1.0210423107719588,0.3048192771084337
